epoch,train_loss,validation_loss,validation_wer
1,1.77296194780417,0.7349615334248056,5.828820896617507
2,0.5087634961882073,0.5472257715098712,14.797330008068657
3,0.41053245526791277,0.4810343582411202,16.66449057434167
4,0.36923299097091494,0.44858238724421484,17.36206264211839
5,0.34580574797809044,0.4334748296105132,17.682755079586297
6,0.32964109883928366,0.4217081957933854,16.22650920560405
7,0.3179658513882018,0.418236182964578,18.93347025599648
8,0.3092099185801146,0.4140052460894293,17.471576322159468
9,0.3027053241660486,0.41578675046259045,15.728819775544634
10,0.2974656798450449,0.4151623262738695,16.43057287464241
11,0.2931009496808217,0.41686257704788326,18.078926135113328
12,0.2897161961549875,0.4155295913924976,19.25981075331915
13,0.28751819386027166,0.41812022197611476,16.167387955695737
14,0.2851097152605756,0.4193388736065553,16.10437908017311
15,0.28349655291598863,0.41755783436249716,15.619672852636985
16,0.28246085170558544,0.4166173159467931,16.934497175970073
17,0.28117397551219986,0.4174670569446622,15.288417809726399
18,0.28056247010930113,0.4187139297018246,15.165334115748552
19,0.28060138388375855,0.4129527566992507,18.297953495195483
20,0.27902074209717137,0.4162694048516604,18.6399911978288
21,0.27812904410095135,0.4140175372666242,16.32318638597521
22,0.2781008549580765,0.4138510397502354,16.60955035575442
23,0.27782379307192884,0.41840787961774945,17.26076432186606
24,0.2775698755539304,0.41358677282625317,17.243380033741655
25,0.2784837157894467,0.41837504688574345,16.78860118829311
26,0.27814480165640515,0.41784869666610447,16.893713782733073
27,0.27693660693297245,0.4190415297539867,20.484119416122642
28,0.27754468426499956,0.4176535402633706,16.496882564365876
29,0.27653371877607635,0.4153354021967674,16.181178023912565
30,0.2759998304303091,0.4149464402271777,17.778185285703806
31,0.27593191141162177,0.41654968763492545,17.87992371451625
32,0.2762023792144833,0.4126879775098392,16.532604709161593
33,0.2764113685154816,0.4148922285863331,17.001760434240445
34,0.2763455732935527,0.4077149249461232,18.416709454998898
35,0.2760505165137031,0.41675728757162483,15.908384068070124
36,0.27592892287347986,0.414318035147628,15.339983862686129
37,0.2763564848182607,0.4132591551359819,16.263625027506784
38,0.27676741735569177,0.4148990784068497,15.34585197682095
39,0.2759101814790056,0.41413016830171856,18.63287610944033
40,0.27502252831333734,0.4134431005436547,16.6643438714883
41,0.2748399933344101,0.4154906730566706,16.112007628548376
42,0.2751174169910729,0.41321925727688535,16.465708208024648
43,0.2756007379680913,0.4164062673035933,15.362429399251816
44,0.27568838556772446,0.41282560524283624,16.361769236411646
45,0.27529115878035254,0.40836614005419675,16.10115161739896
46,0.2752776784026277,0.41283225435383464,15.629648646666178
47,0.27535090858263594,0.41148600985809247,16.503557544194233
48,0.2752479015132039,0.4123221603887422,16.947773784200102
49,0.2770020423011331,0.40488693498227063,19.886011882931122
50,0.27545262193036774,0.40772605824227237,19.83327220714443
