epoch,train_loss,validation_loss,validation_wer
1,1.902613545926255,0.8361310920145809,0.663218137794409
2,0.6023593776396696,0.6281037067147235,1.116628768429546
3,0.4903776144776961,0.560109041342461,1.1786107239785815
4,0.44223501264382986,0.5241785449493495,1.3091762634783246
5,0.41467289340283514,0.5079621146869147,1.361695884984963
