epoch,train_loss,validation_loss,validation_wer
1,2.542395862182641,1.0453314010913555,0.547729107051141
2,0.7091509767835071,0.6867226541042328,0.8101665077385756
3,0.5348302230424407,0.5649782886871925,1.0073351426685249
4,0.4645001230398154,0.5093734956704653,1.3229663316951514
5,0.42700131138577996,0.47462942072978387,1.5031907870608083
6,0.4027597002715985,0.45213631643698765,2.025379593633096
7,0.38643924706457067,0.43852932430230657,1.9347172302501283
8,0.373295426554205,0.4247464780624096,2.3208391403212794
9,0.36296890243207763,0.4134935037447856,2.0154771510305873
10,0.35497585279070987,0.40697925893160014,2.059781412748478
